seed,step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,base_dec_det,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,own_dec_det,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent
0,2,1,O,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,0.0018087069038301,1.1263048271814567e-09,0.000151299056597,1.0243554893207831e-09,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0
0,2,2,D,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0018087069038301,1.1263048271814567e-09,0.000151299056597,1.0243554893207831e-09,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0
0,2,2,O,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,0.0018087069038301,1.1263048271814567e-09,0.000151299056597,1.0243554893207831e-09,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0
0,3,0,D,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625
0,3,0,O,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625
0,3,1,D,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625
0,3,1,O,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625
0,3,2,D,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625
0,3,2,O,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625
0,5,0,D,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,5,0,O,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,5,1,D,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,5,1,O,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,5,2,D,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,5,2,O,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,7,0,D,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0
0,7,0,O,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0
0,7,1,D,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0
0,7,1,O,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0
0,7,2,D,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0
0,7,2,O,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0
0,9,0,D,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
0,9,0,O,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
0,9,1,D,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
0,9,1,O,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
0,9,2,D,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
0,9,2,O,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
0,11,0,D,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,11,0,O,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,11,1,D,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,-0.0465527307006272,0.0433974679453146,0.9453477518011656,0.0578075109542211,-0.0031552627553692,0.8987950211004341,-0.9774904394929368,-1.7443478806770506e-05,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,11,1,O,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,-0.0951165202370791,0.0995374694622301,0.0226127221571437,0.9729663286176944,0.0044209492251625,-0.0725037980798983,0.7556996167611949,1.1170709803534542e-05,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,11,2,D,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0046145798867132,0.0058280243452279,0.9882358490947412,0.0013215466733358,0.0104426042319385,0.9928504289814486,-0.9881277468799178,-4.632918994392521e-05,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,11,2,O,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,-0.0086394801764881,0.0090251044278098,0.0118653003665297,0.9877490753821544,0.0003856242513206,0.0032258201900359,0.9582191904113292,-1.2045171715095428e-05,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,14,0,D,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0419179712879453,-0.0414488506989401,0.9686020763663856,0.0309288030446259,0.0004691205889922,1.010520047654344,-0.8543064513348844,-4.268478501113495e-06,0.0038781843613833,1.1837437696726736e-09,0.0005440751556307,2.1711128450618844e-09,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
0,14,0,O,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,-0.0062552059000844,-0.0003330097281213,-0.0024400817537489,1.009028297381944,-0.0065882156281844,-0.0086952876537953,1.0055461829636796,-2.9461136548744908e-05,0.0038781843613833,1.1837437696726736e-09,0.0005440751556307,2.1711128450618844e-09,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625
