seed,step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,3,1,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,3,2,0.0019266352755948,1.1272773825510283e-09,0.0001680809218669,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
0,5,0,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9044979626452344,0.5163994046203041,0.9963744170544868,0.9962938713018584,0.9993827071381096,0.9836456475022584,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.1554235817969966,-0.1714566106304144,208283,17145,0.9994629530557396,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.993412857848478,0.5020858816954455,-393.0958881700219,0.0756033300012686,-24.68646914941521,0.2190397636773338,0.4869992777663313,-554.6795751181663,0.0689224365812614,-42.4236153466259,0.0438939068550846,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998468,0.9999999999999962,0.9999999999999996,0.9999999607546308
0,5,1,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,5,2,0.002253419952467,1.1558507484465963e-09,0.0002099420380545,1.2540408711458895e-09,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
0,7,0,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.9044979626452344,0.5163994046203041,0.9963744170544868,0.9962938713018584,0.9993827071381096,0.9836456475022584,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.1554235817969966,-0.1714566106304144,208283,17145,0.9994629530557396,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.993412857848478,0.5020858816954455,-393.0958881700219,0.0756033300012686,-24.68646914941521,0.2190397636773338,0.4869992777663313,-554.6795751181663,0.0689224365812614,-42.4236153466259,0.0438939068550846,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998468,0.9999999999999962,0.9999999999999996,0.9999999607546308
0,7,1,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,7,2,0.0026227622292935,1.1822431922325902e-09,0.0002632168179843,1.4354681887596143e-09,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
0,9,0,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125,0.9044979626452344,0.5163994046203041,0.9963744170544868,0.9962938713018584,0.9993827071381096,0.9836456475022584,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.1554235817969966,-0.1714566106304144,208283,17145,0.9994629530557396,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.993412857848478,0.5020858816954455,-393.0958881700219,0.0756033300012686,-24.68646914941521,0.2190397636773338,0.4869992777663313,-554.6795751181663,0.0689224365812614,-42.4236153466259,0.0438939068550846,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998468,0.9999999999999962,0.9999999999999996,0.9999999607546308
0,9,1,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,9,2,0.0029520464595407,1.1854763837249036e-09,0.0003255337942391,1.625159118390229e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
0,11,0,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9044979626452344,0.5163994046203041,0.9963744170544868,0.9962938713018584,0.9993827071381096,0.9836456475022584,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.1554235817969966,-0.1714566106304144,208283,17145,0.9994629530557396,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.993412857848478,0.5020858816954455,-393.0958881700219,0.0756033300012686,-24.68646914941521,0.2190397636773338,0.4869992777663313,-554.6795751181663,0.0689224365812614,-42.4236153466259,0.0438939068550846,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998468,0.9999999999999962,0.9999999999999996,0.9999999607546308
0,11,1,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,11,2,0.0032570397015661,1.1771005281602243e-09,0.0003987142117694,1.824268514027949e-09,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
0,14,0,0.0038781843613833,1.1837437696726736e-09,0.0005440751556307,2.1711128450618844e-09,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9044979626452344,0.5163994046203041,0.9963744170544868,0.9962938713018584,0.9993827071381096,0.9836456475022584,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.1554235817969966,-0.1714566106304144,208283,17145,0.9994629530557396,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.993412857848478,0.5020858816954455,-393.0958881700219,0.0756033300012686,-24.68646914941521,0.2190397636773338,0.4869992777663313,-554.6795751181663,0.0689224365812614,-42.4236153466259,0.0438939068550846,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998468,0.9999999999999962,0.9999999999999996,0.9999999607546308
0,14,1,0.0038781843613833,1.1837437696726736e-09,0.0005440751556307,2.1711128450618844e-09,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,14,2,0.0038781843613833,1.1837437696726736e-09,0.0005440751556307,2.1711128450618844e-09,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
0,18,0,0.0050414185971021,1.215925804487483e-09,0.0008302231435663,2.7349762454775824e-09,0.0126953125,0.0,0.0,0.0,0.9873046875,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.9044979626452344,0.5163994046203041,0.9963744170544868,0.9962938713018584,0.9993827071381096,0.9836456475022584,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.1554235817969966,-0.1714566106304144,208283,17145,0.9994629530557396,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.993412857848478,0.5020858816954455,-393.0958881700219,0.0756033300012686,-24.68646914941521,0.2190397636773338,0.4869992777663313,-554.6795751181663,0.0689224365812614,-42.4236153466259,0.0438939068550846,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998468,0.9999999999999962,0.9999999999999996,0.9999999607546308
0,18,1,0.0050414185971021,1.215925804487483e-09,0.0008302231435663,2.7349762454775824e-09,0.0126953125,0.0,0.0,0.0,0.9873046875,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.99615474920205,0.9955828021654564,0.98838029669293,-0.9518581013553016,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559816,0.1486479851650534,-7.312635472043002,0.1750643588145125,-36.38284858901291,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.2457580867140295,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.999999999999348,0.9999999999996636,0.999999999999038,0.9999999999999816,0.999999999999994,0.999999864803396
0,18,2,0.0050414185971021,1.215925804487483e-09,0.0008302231435663,2.7349762454775824e-09,0.0126953125,0.0,0.0,0.0,0.9873046875,0.0,0.0,0.0029296875,0.0,0.0,0.9970703125,0.0,0.9996500645979324,0.999190157362097,0.9999488851667896,0.9999314879648724,0.9996724879101424,0.999947283125324,0.9999135472955938,0.9857985166131666,-0.3706465653323603,-0.4808202840720592,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.0753232613652529,-12.68473332976964,0.100441814286453,-0.7015367432423676,-0.0095141468320662,0.0683901152841096,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967908,0.9999999999936288,0.9999999999960136,0.999999999997772,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937212
